ProductName,ProductBrand,Gender,Price (INR),Description,PrimaryColor,JenisPakaian
Puma Men Black Monarch FG Football Shoes,Puma,Men,2924,"Design Details:A pair of black football sports shoes, has regular styling, lace-up detailSoft yet highly durable synthetic leatherLightweight TPU outsole with conical studsPUMA Cat Logo on tongueContrasting PUMA Formstrip on lateral sideSuitable for use on firm natural surfacesFG: Firm GroundWarranty: 3 monthsWarranty provided by brand/manufacturer",Black,Suit
Louis Philippe Sport Men Charcoal Grey Slim Fit Solid Regular Smart Casual Trousers,Louis Philippe Sport,Men,1319,"Charcoal grey solid low-rise regular smart casual trousers, button closure, and 4 pocketsOur stylist has paired these trousers with a belt, This trouser does not come with a belt.",Grey,Trousers
Pepe Jeans Girls Navy Skinny Fit Mid-Rise Sequinned Clean Look Stretchable Jeans,Pepe Jeans,Girls,1049,"Blue dark wash 5-pocket sequinned mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Navy,Jeans
DressBerry Women Silver-Toned Solid Open Toe Flats,DressBerry,Women,1299,"A pair of silver-toned open-toed flats, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer",Silver,Dress
Louis Philippe Jeans Men Green Slim Fit Solid Casual Shirt,Louis Philippe Jeans,Men,1147,"Sea green solid casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Green,Shirt
Pepe Jeans Girls Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Pepe Jeans,Girls,949,"Black dark wash 5-pocket mid-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",Black,Jeans
Nauti Nati Boys Navy Blue & White Striped T-shirt with Solid Shorts,Nauti Nati,Boys,587,"This clothing set consists of t-shirt and shortsNavy Blue, white and yellow striped t-shirt, has a polo collar, short sleevesWhite solid shorts, has a slip-on closure, mock fly, two mock pockets on the front",Blue,Shirt
Twisha Boys Yellow & White Solid Kurta with Pyjamas & Nehru Jacket,Twisha,Boys,974,"Yellow and white solid kurta with pyjamasYellow straight knee length kurta, has a round neck, long sleeves, straight hem, side slitsYellow Solid pyjamas, has elasticated waistband, drawstring closureWhite floral printed Nehru Jacket, has a mandarin collar, button closures on the front",Yellow,Kurta
hummel Men Blue Solid Hooded Sweatshirt,hummel,Men,1599,"Blue solid sweatshirt, has a hood, two pockets, long sleeves, zip closure, straight hem",Blue,Shirt
Louis Philippe Sport Men Brown Slim Fit Self-design Casual Shirt,Louis Philippe Sport,Men,1474,"Brown self-design casual shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket",Brown,Shirt
